
 ▐▛███▜▌   Claude Code v2.1.37
│ sequence numbers)                                                            │
│ - Notebook ref: notebooks/01_history_and_vision.py (message ordering         │
│ section)                                                                     │
│                                                                              │
│ Ray sources:                                                                 │
│ - src/ray/core_worker/actor_handle.h:51 — allow_out_of_order_execution flag  │
│ - python/ray/actor.py:1937 — _ray_allow_out_of_order_execution on            │
│ ActorHandle                                                                  │
│                                                                              │
│ Section 5: Supervision and Fault Tolerance                                   │
│                                                                              │
│ Monarch sources:                                                             │
│ - python/monarch/_src/actor/supervision.py:17 — unhandled_fault_hook()       │
│ - python/monarch/_rust_bindings/monarch_hyperactor/supervision.pyi —         │
│ MeshFailure                                                                  │
│ - Notebook ref: notebooks/03_fault_tolerance.py (supervision trees,          │
│ __supervise__, TorchFT)                                                      │
│                                                                              │
│ Ray sources:                                                                 │
│ - python/ray/actor.py:1394-1412 — max_restarts, max_task_retries options     │
│ - python/ray/exceptions.py:332 — RayActorError                               │
│ - python/ray/exceptions.py:371 — ActorDiedError                              │
│ - src/ray/gcs/gcs_actor_manager.h:93 — GCS actor lifecycle management        │
│ - src/ray/gcs/gcs_actor_manager.cc — restart logic (2032 lines)              │
│                                                                              │
│ Section 6: Data Plane — RDMA vs Object Store                                 │
│                                                                              │
│ Monarch sources:                                                             │
│ - python/monarch/_src/rdma/rdma.py:210 — class RDMABuffer                    │
│ - python/monarch/_src/rdma/rdma.py:263 — RDMABuffer.read_into()              │
│ - python/monarch/_src/rdma/rdma.py:122 — class RdmaController(Actor)         │
│ - monarch_rdma/src/rdma_manager_actor.rs — Rust RDMA manager                 │
│ - monarch_rdma/src/rdma_components.rs — RdmaBuffer, QueuePair                │
│ - monarch_rdma/src/ibverbs_primitives.rs — InfiniBand verbs                  │
│ - Notebook refs: notebooks/07_rdma_weight_sync.py,                           │
│ notebooks/07b_weight_sync_deep_dive.py                                       │
│                                                                              │
│ Ray sources:                                                                 │
│ - python/ray/util/collective/collective.py:71 — GroupManager (NCCL/Gloo)     │
│ - python/ray/util/collective/collective_group/nccl_collective_group.py —     │
│ NCCL backend                                                                 │
│ - python/ray/actor.py:1921 — tensor transport per-method config              │
│ - src/ray/core_worker/core_worker.h — object transfer                        │
│                                                                              │
│ Section 7: Distributed Tensors and Training                                  │
│                                                                              │
│ Monarch sources:                                                             │
│ - python/monarch/common/tensor.py:78 — class Tensor (distributed tensor)     │
│ - python/monarch/common/device_mesh.py:154 — class DeviceMesh                │
│ - python/monarch/common/device_mesh.py:310 — DeviceMesh.activate()           │
│ - python/monarch/common/tensor.py:792 — reduce()                             │
│ - python/monarch/fetch.py:50 — inspect()                                     │
│ - monarch_tensor_worker/src/comm.rs — NCCL collective comms                  │
│ - Notebook ref: notebooks/04_distributed_tensors.py                          │
│                                                                              │
│ Ray sources:                                                                 │
│ - python/ray/train/torch/torch_trainer.py:11 — TorchTrainer                  │
│ - python/ray/train/trainer.py:36 — TrainingIterator                          │
│                                                                              │
│ Section 8: Interactive DevX (Single Controller)                              │
│                                                                              │
│ Monarch sources:                                                             │
│ - python/monarch/_src/spmd/actor.py:29 — class SPMDActor(Actor)              │
│ - python/monarch/_src/job/spmd.py:149 — serve() function                     │
│ - Notebook ref: notebooks/02_interactive_devx.py                             │
│                                                                              │
│ Ray sources:                                                                 │
│ - Ray Serve / Ray Jobs equivalents (no direct analog to single-controller    │
│ paradigm)                                                                    │
│                                                                              │
│ Closing: Design Philosophy Summary                                           │
│                                                                              │
│ Synthesize the core tension: structured topology-aware primitives (Monarch)  │
│ vs general-purpose simplicity (Ray).                                         │
│                                                                              │
│ Shared Rich-Live TUI Library: src/demo_tui/                                  │
│                                                                              │
│ Extract reusable components from                                             │
│ scripts/demo_monarch_two_gpu_transformer_train.py (Dashboard class, lines    │
│ 71–314) into a shared library.                                               │
│                                                                              │
│ src/demo_tui/__init__.py                                                     │
│                                                                              │
│ Re-export all public components.                                             │
│                                                                              │
│ src/demo_tui/dashboard.py                                                    │
│                                                                              │
│ Core multi-pane dashboard framework:                                         │
│                                                                              │
│ - class PanelConfig — dataclass: title: str, border_style: str, max_lines:   │
│ int                                                                          │
│ - class DashboardBase — base class providing:                                │
│   - console: Console, start_time: float                                      │
│   - add_panel(name, config) — register a named panel                         │
│   - log(message) — append timestamped message to log panel (deque-backed)    │
│   - set_status(panel_name, key, value) — update key-value data for a panel   │
│   - render() -> Layout — build Layout from all registered panels             │
│   - run(callback, refresh_hz=4.0) — enter Rich.Live context, call            │
│ callback(dashboard) inside it                                                │
│ - class KeyValuePanel — renders dict of stats as aligned key-value lines     │
│ - class LogPanel — renders a scrolling log tail (wraps deque)                │
│ - class ProgressPanel — renders progress bar + spinner + ETA                 │
│ - class ComparisonPanel — side-by-side Monarch vs Ray output (used by demos) │
│                                                                              │
│ src/demo_tui/gpu_monitor.py                                                  │
│                                                                              │
│ GPU stats sampling (extracted from Dashboard.sample_gpu_stats, lines         │
│ 206–246):                                                                    │
│ - class GpuMonitor — sample() -> list[GpuStats], falls back to               │
│ torch.cuda.mem_get_info                                                      │
│                                                                              │
│ src/demo_tui/spinners.py                                                     │
│                                                                              │
│ Spinner animation helper (extracted from lines 259–260):                     │
│ - class Spinner — next() -> str, configurable character sets                 │
│                                                                              │
│ Demo Scripts: scripts/demos/                                                 │
│                                                                              │
│ Each demo covers one section from the comparison document. Each uses the     │
│ shared demo_tui library for consistent multi-pane output. Demos are          │
│ self-contained and runnable with uv run python scripts/demos/<name>.py.      │
│                                                                              │
│ scripts/demos/01_actor_abstraction.py                                        │
│                                                                              │
│ Concept: Actor creation and endpoint calls in Monarch vs Ray                 │
│ - Monarch pane: Spawn PingPong actor via this_host() → spawn_procs →         │
│ spawn("pinger", PingPong), call ping.call_one()                              │
│ - Ray pane: @ray.remote class PingPong, actor = PingPong.remote(),           │
│ ray.get(actor.ping.remote())                                                 │
│ - Dashboard: ComparisonPanel showing both outputs side-by-side, LogPanel for │
│  timeline                                                                    │
│                                                                              │
│ scripts/demos/02_topology_meshes.py                                          │
│                                                                              │
│ Concept: Mesh topology (Monarch) vs flat placement groups (Ray)              │
│ - Monarch pane: Create multi-host mesh, mesh.slice(hosts=0), reshape         │
│ operations                                                                   │
│ - Ray pane: placement_group([{"CPU": 1}] * N, strategy="SPREAD"), individual │
│  actor handles                                                               │
│ - Dashboard: KeyValuePanel showing topology shape, LogPanel for creation     │
│ timeline                                                                     │
│                                                                              │
│ scripts/demos/03_control_plane.py                                            │
│                                                                              │
│ Concept: Messaging patterns — call_one, call, stream, broadcast              │
│ - Monarch pane: Demonstrate all 4 messaging patterns with an EchoActor       │
│ - Ray pane: .remote() + ray.get(), ray.wait(), no native streaming/broadcast │
│ - Dashboard: ProgressPanel per pattern, LogPanel showing message flow        │
│                                                                              │
│ scripts/demos/04_message_ordering.py                                         │
│                                                                              │
│ Concept: Per-sender ordered delivery (Monarch) vs optional ordering (Ray)    │
│ - Monarch pane: Send messages out of order, show they arrive in order        │
│ (mirrors ordering.rs test logic)                                             │
│ - Ray pane: Show max_concurrency + _ray_allow_out_of_order_execution         │
│ behavior                                                                     │
│ - Dashboard: LogPanel showing send/receive order, KeyValuePanel with         │
│ sequence numbers                                                             │
│                                                                              │
│ scripts/demos/05_supervision.py                                              │
│                                                                              │
│ Concept: Erlang-style supervision (Monarch) vs max_restarts (Ray)            │
│ - Monarch pane: Actor with __supervise__, inject fault, show recovery via    │
│ supervision tree                                                             │
│ - Ray pane: Actor with max_restarts=3, inject fault, show GCS-managed        │
│ restart                                                                      │
│ - Dashboard: KeyValuePanel showing actor state, LogPanel showing             │
│ fault/recovery events                                                        │
│                                                                              │
│ scripts/demos/06_data_plane_rdma.py                                          │
│                                                                              │
│ Concept: RDMA one-sided reads (Monarch) vs object store (Ray)                │
│ - Monarch pane: RDMABuffer registration, read_into() zero-copy transfer      │
│ (conceptual — needs RDMA hardware)                                           │
│ - Ray pane: ray.put() / ray.get() with Plasma object store                   │
│ - Dashboard: KeyValuePanel showing transfer stats, ComparisonPanel for       │
│ architecture diagrams (ASCII)                                                │
│                                                                              │
│ scripts/demos/07_distributed_tensors.py                                      │
│                                                                              │
│ Concept: First-class distributed tensors (Monarch) vs manual sharding (Ray)  │
│ - Monarch pane: DeviceMesh.activate(), distributed tensor ops, reduce(),     │
│ inspect()                                                                    │
│ - Ray pane: TorchTrainer with train.torch.prepare_model(), manual DDP setup  │
│ - Dashboard: ProgressPanel for training steps, KeyValuePanel for tensor      │
│ metadata                                                                     │
│                                                                              │
│ scripts/demos/08_interactive_devx.py                                         │
│                                                                              │
│ Concept: Single-controller SPMD (Monarch) vs job submission (Ray)            │
│ - Monarch pane: SPMDActor, serve(), interactive endpoint calls from notebook │
│ - Ray pane: ray.init(), remote function submission, Ray Jobs CLI             │
│ - Dashboard: LogPanel showing interactive session, ComparisonPanel for       │
│ workflow diagrams                                                            │
│                                                                              │
│ Pytest Integration Tests: tests/                                             │
│                                                                              │
│ tests/test_demo_tui.py                                                       │
│                                                                              │
│ Unit tests for the shared TUI library:                                       │
│ - test_dashboard_base_add_panel() — panels register correctly                │
│ - test_dashboard_base_render_layout() — render returns valid Layout          │
│ - test_log_panel_respects_max_lines() — deque truncation works               │
│ - test_key_value_panel_render() — formatted output matches expected          │
│ - test_progress_panel_percentage() — progress bar math is correct            │
│ - test_spinner_cycles() — spinner wraps around correctly                     │
│ - test_comparison_panel_side_by_side() — two-column rendering works          │
│ - test_gpu_monitor_fallback() — graceful degradation without nvidia-smi      │
│                                                                              │
│ tests/test_demo_scripts.py                                                   │
│                                                                              │
│ Integration tests that verify demo scripts are importable and their main     │
│ functions are callable:                                                      │
│ - test_demo_01_importable() — import succeeds, main function exists          │
│ - test_demo_02_importable() through test_demo_08_importable()                │
│ - test_demo_01_dry_run() — run with --dry-run flag (each demo supports       │
│ this), verifying output structure without requiring actual Monarch/Ray       │
│ clusters                                                                     │
│ - Parametrized tests: @pytest.mark.parametrize("demo", ["01", "02", ...,     │
│ "08"])                                                                       │
│                                                                              │
│ tests/conftest.py                                                            │
│                                                                              │
│ Shared fixtures:                                                             │
│ - mock_console — Rich Console with file=StringIO for capturing output        │
│ - sample_dashboard — pre-configured DashboardBase with test panels           │
│                                                                              │
│ Zephyr Container Infra Constraints                                           │
│                                                                              │
│ All code runs inside the Zephyr container using the existing scripts:        │
│                                                                              │
│ - Run commands: ./scripts/zephyr_uv_run.sh python                            │
│ scripts/demos/01_actor_abstraction.py                                        │
│ - Run tests: ./scripts/zephyr_uv_run.sh pytest tests/ -q                     │
│ - Sync env: ./scripts/zephyr_uv_sync.sh (auto-called by zephyr_uv_run.sh)    │
│                                                                              │
│ Environment rules:                                                           │
│ - Python comes from Spack at /opt/spack_store/view/bin/python                │
│ - venv uses --system-site-packages to inherit Spack packages (torch, CUDA,   │
│ triton, torchmonarch)                                                        │
│ - uv NEVER installs: torch, triton, cuda-bindings, cuda-pathfinder, any      │
│ nvidia-* or cuda-* packages, JAX                                             │
│ - CUDA runtime libs come from /usr/local/cuda/ via LD_LIBRARY_PATH (set by   │
│ zephyr_uv_run.sh)                                                            │
│ - Pure-Python deps (rich, marimo, etc.) are installed by uv — rich>=13.9.0   │
│ is already in pyproject.toml                                                 │
│ - The demo_tui package in src/ is auto-discovered by                         │
│ [tool.setuptools.packages.find] where = ["src"]                              │
│ - No changes needed to pyproject.toml for new packages (rich already         │
│ included, pytest in dev deps)                                                │
│                                                                              │
│ Demo scripts that need GPU/Monarch: support --dry-run mode that mocks the    │
│ distributed runtime, so they can be tested in CI or without GPU. When        │
│ --dry-run is set, they skip this_host(), ray.init(), etc. and use simulated  │
│ data for the dashboard.                                                      │
│                                                                              │
│ Implementation Steps                                                         │
│                                                                              │
│ 1. Create the shared TUI library (src/demo_tui/)                             │
│   - Extract patterns from scripts/demo_monarch_two_gpu_transformer_train.py  │
│   - dashboard.py, gpu_monitor.py, spinners.py, __init__.py                   │
│ 2. Write the full comparison document to docs/monarch-vs-ray-analysis.md     │
│   - 8 sections as outlined above                                             │
│   - Each section: concept intro (using notebook context), Monarch code +     │
│ links, Ray code + links, comparison table                                    │
│   - GitHub URLs for every source reference                                   │
│   - Code snippets showing the API patterns side by side                      │
│ 3. Create demo scripts (scripts/demos/01_*.py through scripts/demos/08_*.py) │
│   - Each demo uses demo_tui library                                          │
│   - Each supports --dry-run for testing without cluster resources            │
│   - Self-contained with clear main() entry point                             │
│ 4. Create pytest tests (tests/test_demo_tui.py, tests/test_demo_scripts.py,  │
│ tests/conftest.py)                                                           │
│   - Unit tests for TUI library                                               │
│   - Import/dry-run integration tests for demo scripts                        │
│ 5. Update pyproject.toml if needed to add demo_tui as a package              │
│                                                                              │
│ Verification                                                                 │
│                                                                              │
│ - All GitHub URLs constructed correctly from confirmed file paths            │
│ - Code examples match the actual API signatures verified via file reads      │
│ - Notebook references match actual notebook content (already deeply          │
│ explored)                                                                    │
│ - Document renders correctly as GitHub-flavored markdown                     │
│ - ./scripts/zephyr_uv_run.sh pytest tests/ -q passes all tests               │
│ - ./scripts/zephyr_uv_run.sh python scripts/demos/01_actor_abstraction.py    │
│ --dry-run runs without errors                                                │
│ - Each demo script is independently runnable via ./scripts/zephyr_uv_run.sh  │
│ - No CUDA/torch/jax packages appear in uv install output                     │
╰──────────────────────────────────────────────────────────────────────────────╯

● I'll implement this comprehensive plan. Let me start by reading the key
  reference files to understand the existing patterns, then work through the
  implementation steps.

● Let me read the existing reference files first.

● Searched for 1 pattern, read 2 files (ctrl+o to expand)

● Good. Now let me read a few notebooks to get the right context for the
  comparison document, and check if there's an existing analysis file.

● Searched for 1 pattern, read 2 files (ctrl+o to expand)

● Now I have a good understanding of the codebase. This is a large
  implementation task, so I'll parallelize the work by launching multiple agents
   for independent pieces. Let me start by creating the TUI library and the
  comparison document in parallel, then follow up with the demo scripts and
  tests.

● Task(Create demo_tui library files)
  ⎿  Backgrounded agent (shift+↑ to manage · ctrl+o to expand)

● Let me check on the TUI library agent and start working on the comparison
  document in parallel.

● Task Output(non-blocking) a00543e
  ⎿  Task is still running…

● The TUI library agent is still working. Let me start on the comparison
  document and demo scripts in parallel.

● Let me read the existing analysis file fully and some key notebooks to build
  the comprehensive document.

● Read 3 files (ctrl+o to expand)

● Good, I have the existing analysis and notebook context. Now let me write the
  comprehensive comparison document. This is a large file, so I'll write it
  directly.

● Write(docs/monarch-vs-ray-analysis.md)
  ⎿  Added 764 lines, removed 115 lines
       1 -# Monarch vs Ray: Actors, Messaging, and Supervision           
       1 +# Monarch vs Ray: A Comprehensive Technical Comparison         
       2  
       3 -A technical comparison based on the Monarch notebook series (th
         -is repo) and the Ray codebase at `/home/phi9t/workspace/ray`.  
       3 +A deep technical comparison of [PyTorch Monarch](https://github
         +.com/pytorch/monarch) and [Ray](https://github.com/ray-project/
         +ray), covering actors, control plane messaging, supervision, da
         +ta plane (RDMA), distributed tensors, and interactive developme
         +nt. Each section includes side-by-side code examples and links 
         +to the actual source implementations.                          
       4  
       5 +**Monarch commit**: [`febefda`](https://github.com/pytorch/mona
         +rch/tree/febefda69e1f9e9a696596b3de368ac557320b21)             
       6 +**Ray commit**: [`25da710`](https://github.com/ray-project/ray/
         +tree/25da7108abbec7606e8e0ce057e3a5d22421850f)                 
       7 +                                                               
       8 +**Companion notebooks**: The Monarch side of each concept maps 
         +to a notebook in this repo's `notebooks/` directory. See [01–08
         +](../notebooks/) for interactive walkthroughs.                 
       9 +                                                               
      10  ---
      11  
       7 -## 1. The Actor Abstraction                                    
      12 +## Table of Contents                                           
      13  
       9 -**Monarch** — actors are Python classes that inherit from `Acto
         -r`. Methods are exposed via the `@endpoint` decorator, creating
         - typed, named RPC entry points:                                
      14 +1. [Actor Abstraction](#1-actor-abstraction)                   
      15 +2. [Topology — Meshes vs Flat Handles](#2-topology--meshes-vs-f
         +lat-handles)                                                   
      16 +3. [Control Plane Messaging](#3-control-plane-messaging)       
      17 +4. [Message Ordering Guarantees](#4-message-ordering-guarantees
         +)                                                              
      18 +5. [Supervision and Fault Tolerance](#5-supervision-and-fault-t
         +olerance)                                                      
      19 +6. [Data Plane — RDMA vs Object Store](#6-data-plane--rdma-vs-o
         +bject-store)                                                   
      20 +7. [Distributed Tensors and Training](#7-distributed-tensors-an
         +d-training)                                                    
      21 +8. [Interactive DevX (Single Controller)](#8-interactive-devx-s
         +ingle-controller)                                              
      22 +9. [Design Philosophy Summary](#9-design-philosophy-summary)   
      23  
      24 +---                                                            
      25 +                                                               
      26 +## 1. Actor Abstraction                                        
      27 +                                                               
      28 +> **Notebook ref**: [`notebooks/01_history_and_vision.py`](../n
         +otebooks/01_history_and_vision.py) — PingPong actor, mesh spawn
         +ing, endpoint calls.                                           
      29 +                                                               
      30 +### Monarch                                                    
      31 +                                                               
      32 +Actors are Python classes that inherit from `Actor`. Methods ar
         +e exposed via the `@endpoint` decorator, creating typed, named 
         +RPC entry points. Spawning is topology-aware: you first create 
         +a `ProcMesh` (a structured grid of processes), then spawn actor
         +s on it, getting back an `ActorMesh`.                          
      33 +                                                               
      34  ```python
      12 -# Monarch (from notebooks/01_history_and_vision.py:183-196)    
      35 +# Monarch actor definition                                     
      36 +from monarch.actor import Actor, endpoint, current_rank, this_h
         +ost                                                            
      37 +                                                               
      38  class PingPong(Actor):
      39      def __init__(self):
      40          self.name = "Ping" if current_rank().rank == 0 else "Po
          ng"
     ...
      43      @endpoint
      44      def ping(self, message: str) -> str:
      45          self.count += 1
      21 -        return f"pong from {self.name}"                        
      46 +        return f"pong from {self.name} (count={self.count})"   
      47  
      23 -# Spawn: mesh-aware, returns an ActorMesh                      
      48 +# Spawn: two-step, mesh-aware                                  
      49 +host = this_host()                                             
      50  procs = host.spawn_procs(per_host={"gpus": 2})
      51  actors = procs.spawn("players", PingPong)
      52 +                                                               
      53 +# Call: returns structured result                              
      54 +result = actors.ping.call_one("hello").get()                   
      55  ```
      56  
      28 -**Ray** — actors are regular Python classes decorated with `@ra
         -y.remote`. Every public method is implicitly callable remotely:
      57 +**Source links:**                                              
      58 +- [`Actor` base class](https://github.com/pytorch/monarch/blob/
         +febefda69e1f9e9a696596b3de368ac557320b21/python/monarch/_src/ac
         +tor/actor_mesh.py#L1569) — `class Actor(MeshTrait)`            
      59 +- [`ActorMesh`](https://github.com/pytorch/monarch/blob/febefda
         +69e1f9e9a696596b3de368ac557320b21/python/monarch/_src/actor/act
         +or_mesh.py#L1606) — `class ActorMesh(Generic[T])`              
      60 +- [`@endpoint` decorator](https://github.com/pytorch/monarch/bl
         +ob/febefda69e1f9e9a696596b3de368ac557320b21/python/monarch/_src
         +/actor/endpoint.py#L509)                                       
      61  
      62 +### Ray                                                        
      63 +                                                               
      64 +Actors are regular Python classes decorated with `@ray.remote`.
         + Every public method is implicitly callable remotely. Spawning 
         +is a single step: `Class.remote()` returns an opaque `ActorHand
         +le`, and the scheduler picks a node.                           
      65 +                                                               
      66  ```python
      31 -# Ray (from python/ray/actor.py:1201-1368)                     
      67 +# Ray actor definition                                         
      68 +import ray                                                     
      69 +                                                               
      70  @ray.remote
      71  class Counter:
      72      def __init__(self):
     ...
       76          self.count += 1
       77          return self.count
       78  
       41 -# Spawn: returns an ActorHandle (opaque proxy)                
       79 +# Spawn: single-step, scheduler picks node                    
       80  counter = Counter.remote()
       81 +                                                              
       82 +# Call: returns ObjectRef, resolve with ray.get()             
       83 +ref = counter.increment.remote()                              
       84 +result = ray.get(ref)                                         
       85  ```
       86  
       45 -**Key differences:**                                          
       87 +**Source links:**                                             
       88 +- [`ActorClass`](https://github.com/ray-project/ray/blob/25da7
          +108abbec7606e8e0ce057e3a5d22421850f/python/ray/actor.py#L1201)
          + — `class ActorClass(Generic[T])`                             
       89 +- [`ActorClass.remote()`](https://github.com/ray-project/ray/b
          +lob/25da7108abbec7606e8e0ce057e3a5d22421850f/python/ray/actor.
          +py#L1356) — actor creation entry point                        
       90 +- [`ActorHandle`](https://github.com/ray-project/ray/blob/25da
          +7108abbec7606e8e0ce057e3a5d22421850f/python/ray/actor.py#L1886
          +) — `class ActorHandle(Generic[T])`                           
       91 +- [`ActorClass._remote()`](https://github.com/ray-project/ray/
          +blob/25da7108abbec7606e8e0ce057e3a5d22421850f/python/ray/actor
          +.py#L1511) — full creation path with all options              
       92  
       93 +### Comparison                                                
       94 +                                                              
       95  | Aspect | Monarch | Ray |
       96  |--------|---------|-----|
       97  | **Base class** | Explicit `Actor` inheritance | `@ray.remote
           ` decorator on any class |
       50 -| **Method exposure** | Opt-in via `@endpoint` | Opt-out (all 
          -methods are remote by default) |                              
       98 +| **Method exposure** | Opt-in via `@endpoint` | Opt-out (all 
          +public methods are remote by default) |                       
       99  | **Spawn model** | Two-step: `spawn_procs()` then `spawn()` o
           n a ProcMesh | Single-step: `Class.remote()`, scheduler picks 
           node |
      100  | **Return type** | `ActorMesh` (collective-addressable group)
            | `ActorHandle` (single actor proxy) |
       53 -| **Invocation** | `actor.method.call_one().get()` / `actors.m
          -ethod.call().get()` | `actor.method.remote()` returns `ObjectR
          -ef`, then `ray.get()` |                                       
       54 -| **Message ordering** | **Guaranteed**: messages from A to B 
          -arrive in order; each actor processes messages **sequentially*
          -* | **Not guaranteed** by default; `allow_out_of_order_executi
          -on` flag exists (`actor_handle.h:51`) |                       
       55 -| **Concurrency within actor** | Sequential by default (one me
          -ssage at a time). Different actors in the same process run con
          -currently | Configurable via `max_concurrency`. Defaults diffe
          -r for sync vs async actors |                                  
       56 -| **Actor inheritance** | Supported (normal Python inheritance
          - from `Actor`) | **Explicitly blocked** — `ActorClassInheritan
          -ceException` raised if you try to subclass an `ActorClass` (`a
          -ctor.py:1226`) |                                              
      101 +| **Invocation** | `actor.method.call_one().get()` | `ray.get(
          +actor.method.remote())` |                                     
      102 +| **Concurrency** | Sequential by default (one message at a ti
          +me) | Configurable via `max_concurrency` |                    
      103 +| **Actor inheritance** | Supported (normal Python inheritance
          + from `Actor`) | Blocked — `ActorClassInheritanceException` ra
          +ised |                                                        
      104  
      105  ---
      106  
       60 -## 2. Topology: Meshes vs Flat Handles                        
      107 +## 2. Topology — Meshes vs Flat Handles                       
      108  
       62 -This is the deepest architectural divergence.                 
      109 +> **Notebook ref**: [`notebooks/04_distributed_tensors.py`](..
          +/notebooks/04_distributed_tensors.py) — mesh creation, reshape
          +, slicing, distributed tensor ops.                            
      110  
       64 -**Monarch** builds around **multidimensional meshes**. A `Proc
          -Mesh` is a structured grid of processes with named dimensions 
          -(e.g., `{"dp": 4, "tp": 8}`). An `ActorMesh` spawned on it inh
          -erits that structure. You address actors by slicing:          
      111 +This is the deepest architectural divergence between Monarch a
          +nd Ray.                                                       
      112  
      113 +### Monarch                                                   
      114 +                                                              
      115 +Monarch builds around **multidimensional meshes**. A `ProcMesh
          +` is a structured grid of processes with named dimensions (e.g
          +., `{"dp": 4, "tp": 8}`). An `ActorMesh` spawned on it inherit
          +s that structure. You address actors by slicing dimensions:   
      116 +                                                              
      117  ```python
